,precision,recall,f1-score,support
200 cm,0.9836065573770492,0.9523809523809523,0.9677419354838709,315.0
200 cm (wall),0.9559748427672956,0.9712460063897763,0.9635499207606972,313.0
50 cm,0.9727272727272728,0.9876923076923076,0.9801526717557253,325.0
accuracy,0.9706190975865687,0.9706190975865687,0.9706190975865687,0.9706190975865687
macro avg,0.9707695576238725,0.9704397554876788,0.970481509333431,953.0
weighted avg,0.970821148999263,0.9706190975865687,0.9705975374565879,953.0
